"","Tumor_Sample","Healthy_Sample"
"A1BG",91.9553,71.979
"A1CF",1.3358,0
"A2BP1",0.3339,1.5908
"A2LD1",127.3602,71.3777
"A2ML1",772.75,11.7722
"A2M",11824.6652,29384.6357
"A4GALT",870.93,891.1868
"A4GNT",0.6679,5.4088
"AAA1",0,0
"AAAS",414.0925,460.07
"AACSL",0.6679,0
"AACS",787.1097,759.7836
"AADACL2",0.3339,1.2727
"AADACL3",0,0.9545
"AADACL4",0,0
"AADAC",0.3339,1.2727
"AADAT",138.9214,93.5412
"AAGAB",1118.3837,918.5492
"AAK1",1066.2882,1101.8136
"AAMP",2007.6807,1904.2316
"AANAT",0,1.909
"AARS2",319.2453,416.7897
"AARSD1",384.3713,526.8851
"AARS",9310.7363,2279.0328
"AASDHPPT",864.201,741.6481
"AASDH",334.9474,426.0261
"AASS",112.5397,627.426
"AATF",1161.7966,907.0951
"AATK",75.8056,79.5418
"ABAT",162.6315,316.8947
"ABCA10",9.3505,599.1091
"ABCA11P",70.2655,90.8654
"ABCA12",23.0422,5.727
"ABCA13",381.3658,22.908
"ABCA17P",50.4258,3.1817
"ABCA1",502.2541,1670.035
"ABCA2",915.3448,1240.8527
"ABCA3",2239.7729,1014.9539
"ABCA4",18.367,63.9516
"ABCA5",436.8008,1114.8584
"ABCA6",30.389,1115.1766
"ABCA7",320.2538,287.6233
"ABCA8",8.0147,3602.609
"ABCA9",6.6789,1893.4139
"ABCB10",784.4381,428.8896
"ABCB11",0.3339,4.1362
"ABCB1",29.7212,349.0296
"ABCB4",27.0496,31.1804
"ABCB5",0,170.5377
"ABCB6",370.3256,371.7467
"ABCB7",348.3052,443.8435
"ABCB8",364.3346,339.1664
"ABCB9",190.9167,163.7512
"ABCC10",640.8415,423.4808
"ABCC11",12.6899,9.545
"ABCC12",0,0.3182
"ABCC13",1.0018,2.2272
"ABCC1",1822.341,1205.8543
"ABCC2",7.0129,20.6809
"ABCC3",284.5216,784.2825
"ABCC4",1168.4755,169.5832
"ABCC5",2008.6826,918.8673
"ABCC6P1",1.0018,3.818
"ABCC6P2",2.6716,10.8177
"ABCC6",24.0441,103.0862
"ABCC8",0,23.5444
"ABCC9",71.4644,1317.531
"ABCD1",677.9095,264.0789
"ABCD2",14.3597,80.4963
"ABCD3",1172.1489,1307.3497
"ABCD4",263.4831,731.4668
"ABCE1",1923.8604,1774.4193
"ABCF1",2382.0337,1441.6163
"ABCF2",1164.8021,1101.1772
"ABCF3",1407.5806,920.14
"ABCG1",470.8632,653.5157
"ABCG2",38.7377,186.4461
"ABCG4",12.6899,2.5453
"ABCG5",1.0018,1.2727
"ABCG8",1.3358,0.6363
"ABHD10",501.2523,566.0197
"ABHD11",877.9429,597.8365
"ABHD12B",3.6734,2.2272
"ABHD12",1946.5687,718.1037
"ABHD13",669.2269,772.8285
"ABHD14A",111.2139,212.0172
"ABHD14B",1194.8572,1629.0169
"ABHD15",207.3802,321.0309
"ABHD1",12.356,12.4085
"ABHD2",5201.5361,2875.2784
"ABHD3",863.2493,260.2609
"ABHD4",563.3662,715.2402
"ABHD5",566.7056,1124.0853
"ABHD6",176.3233,335.0302
"ABHD8",425.4467,217.6265
"ABI1",2399.4423,1655.6952
"ABI2",2027.3835,1851.734
"ABI3BP",49.4239,2951.6386
"ABI3",121.5562,255.8066
"ABL1",1076.6405,3192.8094
"ABL2",2212.7233,1402.7999
"ABLIM1",2701.9536,7985.3643
"ABLIM2",155.9526,153.6748
"ABLIM3",156.2865,1589.8823
"ABO",41.4093,21.3172
"ABP1",47.7542,12.4085
"ABRA",0,2.2272
"ABR",2334.6135,2141.5845
"ABT1",659.8764,540.8845
